,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
107,2020-08-13 08:51:27,0,0.0,0.0,5 days 19:10:56,3
108,2020-08-13 09:01:27,0,0.0,0.0,5 days 19:20:56,3
109,2020-08-13 09:11:27,0,0.0,0.0,5 days 19:30:56,3
110,2020-08-13 09:21:27,0,0.0,0.0,5 days 19:40:56,3
111,2020-08-13 09:31:27,0,0.0,0.0,5 days 19:50:56,3
112,2020-08-13 09:41:27,0,0.0,0.0,5 days 20:00:56,3
113,2020-08-13 09:51:27,0,0.0,0.0,5 days 20:10:56,3
114,2020-08-13 10:01:27,0,0.0,0.0,5 days 20:20:56,3
115,2020-08-13 10:11:27,0,0.0,0.0,5 days 20:30:56,3
116,2020-08-13 10:21:27,0,0.0,0.0,5 days 20:40:56,3
117,2020-08-13 10:31:27,0,0.0,0.0,5 days 20:50:56,3
118,2020-08-13 10:41:27,0,0.0,0.0,5 days 21:00:56,3
119,2020-08-13 10:51:27,0,0.0,0.0,5 days 21:10:56,3
120,2020-08-13 11:01:27,0,0.0,0.0,5 days 21:20:56,3
121,2020-08-13 11:11:27,0,0.0,0.0,5 days 21:30:56,3
122,2020-08-13 11:21:27,0,0.0,0.0,5 days 21:40:56,3
123,2020-08-13 11:31:27,0,0.0,0.0,5 days 21:50:56,3
124,2020-08-13 11:41:27,0,0.0,0.0,5 days 22:00:56,3
125,2020-08-13 11:51:27,0,0.0,0.0,5 days 22:10:56,3
126,2020-08-13 12:01:27,0,0.0,0.0,5 days 22:20:56,3
127,2020-08-13 12:11:27,0,0.0,0.0,5 days 22:30:56,3
128,2020-08-13 12:21:27,0,0.0,0.0,5 days 22:40:56,3
129,2020-08-13 12:31:27,0,0.0,0.0,5 days 22:50:56,3
130,2020-08-13 12:41:27,0,0.0,0.0,5 days 23:00:56,3
131,2020-08-13 12:51:27,0,0.0,0.0,5 days 23:10:56,3
132,2020-08-13 13:01:27,0,0.0,0.0,5 days 23:20:56,3
133,2020-08-13 13:11:27,0,0.0,0.0,5 days 23:30:56,3
134,2020-08-13 13:21:27,0,0.0,0.0,5 days 23:40:56,3
135,2020-08-13 13:31:27,0,0.0,0.0,5 days 23:50:56,3
136,2020-08-13 13:41:27,0,0.0,0.0,6 days 00:00:56,3
137,2020-08-13 13:51:27,0,0.0,0.0,6 days 00:10:56,3
138,2020-08-13 14:01:27,0,0.0,0.0,6 days 00:20:56,3
139,2020-08-13 14:11:27,0,0.0,0.0,6 days 00:30:56,3
140,2020-08-13 14:21:27,0,0.0,0.0,6 days 00:40:56,3
141,2020-08-13 14:31:27,0,0.0,0.0,6 days 00:50:56,3
142,2020-08-13 14:41:27,0,0.0,0.0,6 days 01:00:56,3
143,2020-08-13 14:51:27,0,0.0,0.0,6 days 01:10:56,3
144,2020-08-13 15:01:27,0,0.0,0.0,6 days 01:20:56,3
145,2020-08-13 15:11:27,0,0.0,0.0,6 days 01:30:56,3
146,2020-08-13 15:21:27,0,0.0,0.0,6 days 01:40:56,3
147,2020-08-13 15:31:27,0,0.0,0.0,6 days 01:50:56,3
148,2020-08-13 15:41:27,0,0.0,0.0,6 days 02:00:56,3
149,2020-08-13 15:51:27,0,0.0,0.0,6 days 02:10:56,3
150,2020-08-13 16:01:27,0,0.0,0.0,6 days 02:20:56,3
151,2020-08-13 16:11:27,0,0.0,0.0,6 days 02:30:56,3
152,2020-08-13 16:21:27,0,0.0,0.0,6 days 02:40:56,3
153,2020-08-13 16:31:27,0,0.0,0.0,6 days 02:50:56,3
154,2020-08-13 16:41:27,0,0.0,0.0,6 days 03:00:56,3
155,2020-08-13 16:51:27,0,0.0,0.0,6 days 03:10:56,3
156,2020-08-13 17:01:27,0,0.0,0.0,6 days 03:20:56,3
157,2020-08-13 17:11:27,0,0.0,0.0,6 days 03:30:56,3
158,2020-08-13 17:21:27,0,0.0,0.0,6 days 03:40:56,3
159,2020-08-13 17:31:27,0,0.0,0.0,6 days 03:50:56,3
160,2020-08-13 17:41:27,0,0.0,0.0,6 days 04:00:56,3
161,2020-08-13 17:51:27,0,0.0,0.0,6 days 04:10:56,3
162,2020-08-13 18:01:27,0,0.0,0.0,6 days 04:20:56,3
163,2020-08-13 18:10:43,0,0.0,0.0,6 days 04:30:12,3
164,2020-08-13 18:20:43,0,0.0,0.0,6 days 04:40:12,3
165,2020-08-13 18:30:43,0,0.0,0.0,6 days 04:50:12,3
